fecha;area;partida;importe
2025-08-07;RRHH;Seguros;1212.91
2025-01-29;RRHH;Viajes;836.94
2025-09-03;Direccion;Formacion;9355.13
2025-01-29;Marketing;Publicidad;2940.22
2025-01-03;Administracion;Alquileres;11622.0
2025-02-05;Administracion;Seguros;6624.71
2025-02-11;Marketing;Software;4919.02
2025-13-40;RRHH;Suministros;6519.16
2025-06-14;Marketing;Suministros;16479.62
2025-03-15;Contabilidad;Hardware;1456.33
2025-10-13;IT;Viajes;4726.83
2025-07-17;Operaciones;Suministros;899.36
2025-02-14;Administracion;Seguros;3830.81
2025-02-09;I+D;Software;10000000.0
2025-05-21;Operaciones;Publicidad;5045.49
2025-04-28;Calidad;Alquileres;3144.63
2025-05-11;Marketing;Seguros;2015.7
2025-05-20;Contabilidad;Formacion;1736.03
2025-10-06;Operaciones;Suministros;7003.43
2025-06-04;RRHH;Personal;7947.42
2025-02-03;Calidad;Personal;413.5
2025-03-06;Contabilidad;Seguros;10136.78
2025-07-28;Ventas;Personal;4647.6
2025-08-28;Operaciones;Software;5192.01
2025-10-02;RRHH;Alquileres;6399.81
2025-06-05;Ventas;Alquileres;6580.41
2025-09-13;RRHH;Personal;6870.37
2025-04-30;Marketing;Suministros;13614.45
2025-13-40;Ventas;Software;1182.29
2025-02-22;Direccion;Seguros;289.23
2025-08-16;Marketing;Viajes;3462.22
2025-08-25;RRHH;Viajes;-500.0
2025-01-08;IT;Software;10706.47
2025-07-31;I+D;Alquileres;9778.62
2025-04-15;;Personal;15024.42
2025-10-20;Direccion;Software;5634.75
2025-10-11;Direccion;Personal;561.94
2025-06-02;Ventas;Suministros;6296.96
2025-05-11;Ventas;;6329.41
2025-09-09;Operaciones;Publicidad;1021.17
2025-01-05;Calidad;Alquileres;2611.47
2025-08-17;Contabilidad;Suministros;381.84
2025-06-16;Ventas;Alquileres;6231.15
2025-08-11;Operaciones;Suministros;4331.88
2025-10-25;Calidad;Formacion;3285.52
2025-07-26;Marketing;Seguros;5357.42
2025-02-24;Ventas;Personal;12771.88
2025-06-04;RRHH;Mantenimiento;6206.76
2025-02-27;IT;Mantenimiento;2107.39
2025-03-22;Operaciones;Viajes;9863.7
2025-10-21;Ventas;Suministros;4354.41
2025-09-18;Marketing;Formacion;1768.42
2025-09-29;Ventas;Software;1051.66
2025-06-26;Marketing;Viajes;2161.59
2025-10-09;Calidad;Software;4410.73
2025-01-14;I+D;Personal;6800.58
2025-02-22;Ventas;Software;1464.62
2025-05-27;Calidad;Mantenimiento;6243.69
2025-07-10;I+D;Formacion;9777.12
2025-08-26;Ventas;Seguros;5084.01
2025-08-14;IT;Publicidad;2683.65
2025-02-18;Calidad;Alquileres;2301.88
2025-05-31;IT;Publicidad;1936.51
2025-09-18;Marketing;Alquileres;1637.53
2025-01-07;I+D;Personal;3012.91
2025-04-23;;Viajes;3861.14
2025-04-29;Contabilidad;Hardware;7327.93
2025-06-27;Calidad;Hardware;4976.11
2025-10-17;Administracion;Hardware;5252.34
2025-01-14;IT;Software;685.75
2025-10-25;IT;Mantenimiento;5506.38
2025-04-19;IT;Publicidad;3750.8
2025-10-15;Direccion;Software;8306.0
2025-11-02;Ventas;Viajes;994.42
2025-10-30;Ventas;Hardware;4150.78
2025-09-18;Ventas;Alquileres;3512.58
2025-01-26;Calidad;Suministros;6230.72
2025-02-14;RRHH;Seguros;508.08
2025-04-04;Calidad;XXX-PARTIDA MALA;560.15
2025-02-04;I+D;Mantenimiento;3771.08
2025-05-24;Administracion;Viajes;1260.13
2025-07-09;Administracion;Publicidad;8753.2
2025-07-04;IT;Viajes;12255.13
2025-03-11;Calidad;Alquileres;3559.09
2025-09-04;Calidad;Seguros;1287.63
2025-01-04;Administracion;Hardware;15661.18
2025-02-09;Administracion;Seguros;-500.0
2025-09-29;Administracion;Alquileres;2061.26
2025-08-27;RRHH;Mantenimiento;13769.19
2025-08-26;Administracion;Suministros;6499.02
2025-04-18;Calidad;Personal;1424.92
2025-10-22;Marketing;Publicidad;1178.19
2025-03-30;Operaciones;Mantenimiento;12057.42
2025-09-07;Direccion;Personal;748.87
2025-01-21;RRHH;Publicidad;4299.89
2025-05-30;RRHH;XXX-PARTIDA MALA;5505.5
2025-01-02;RRHH;Alquileres;2718.24
2025-06-09;Calidad;Publicidad;1718.1
2025-04-27;Operaciones;Formacion;1347.09
2025-05-04;RRHH;Viajes;5759.97
2025-09-14;Direccion;Personal;287.06
2025-05-07;Operaciones;Formacion;4061.32
2025-13-40;IT;Viajes;848.63
2025-06-04;Administracion;Mantenimiento;7221.85
2025-01-30;IT;Publicidad;982.71
2025-02-26;Administracion;Suministros;2619.91
2025-02-26;XXX-AREA MALA;Personal;14874.9
2025-02-21;Calidad;Mantenimiento;3304.54
2025-09-24;Ventas;Publicidad;9251.95
2025-04-10;Contabilidad;Alquileres;493.38
2025-11-09;Administracion;Seguros;4944.03
2025-10-01;Contabilidad;Viajes;1579.43
2025-05-14;Direccion;Formacion;6068.38
2025-05-02;I+D;Seguros;3213.95
2025-07-02;IT;Personal;5594.91
2025-06-07;I+D;Seguros;5100.3
2025-13-40;Calidad;Formacion;11959.86
2025-02-09;Contabilidad;Software;16869.82
2025-06-08;Administracion;Viajes;5488.92
2025-08-23;Direccion;Mantenimiento;8541.16
2025-06-06;Administracion;Formacion;6982.76
2025-08-14;IT;Seguros;1475.38
2025-02-19;I+D;Alquileres;4990.95
2025-08-15;IT;Software;6306.94
2025-08-31;Administracion;Alquileres;1556.18
2025-06-09;Direccion;Software;12481.68
2025-05-19;RRHH;Hardware;2811.27
2025-05-13;Operaciones;Viajes;1176.07
2025-05-11;Calidad;Seguros;1092.33
2025-09-07;Contabilidad;Hardware;5395.54
2025-02-20;Calidad;Software;1852.1
2025-13-40;Marketing;Suministros;14507.01
2025-11-07;RRHH;Viajes;7836.83
2025-06-03;;Alquileres;5733.13
2025-09-07;IT;Mantenimiento;5440.91
2025-10-09;Administracion;Hardware;4900.2
2025-04-09;Operaciones;Software;3502.93
2025-04-17;Calidad;Suministros;9783.98
2025-06-20;Operaciones;Mantenimiento;1638.56
2025-06-13;Direccion;Personal;740.11
2025-02-14;Administracion;Mantenimiento;7106.64
2025-05-11;Ventas;Suministros;5295.43
2025-07-31;Ventas;Personal;16866.21
2025-02-09;Calidad;Formacion;10599.91
2025-06-01;Contabilidad;Formacion;1917.29
2025-03-30;Calidad;Publicidad;13058.43
2025-07-08;Ventas;Formacion;3930.35
2025-08-17;Marketing;Seguros;1230.22
2025-04-20;RRHH;Seguros;1163.41
2025-10-04;Administracion;Mantenimiento;1003.4
2025-11-05;;Personal;815.06
2025-10-06;I+D;Mantenimiento;3786.64
2025-07-21;Direccion;Hardware;2086.67
2025-02-10;Administracion;Formacion;2785.26
2025-07-17;Administracion;Publicidad;11460.12
2025-04-30;IT;Viajes;14355.08
2025-08-27;Contabilidad;Personal;1702.29
2025-09-21;RRHH;Formacion;4160.51
2025-06-16;Direccion;Formacion;7934.35
2025-04-04;Marketing;Publicidad;1877.37
2025-09-17;Marketing;Mantenimiento;6480.35
2025-08-03;Direccion;Mantenimiento;12377.89
2025-05-13;I+D;Seguros;3545.56
2025-07-31;Direccion;Viajes;11152.96
2025-02-25;Marketing;Hardware;6421.38
2025-09-24;Marketing;Personal;3593.44
2025-09-13;I+D;Personal;10434.57
2025-09-18;Marketing;Viajes;3350.3
2025-01-12;Marketing;Personal;751.04
2025-04-24;Administracion;XXX-PARTIDA MALA;10248.87
2025-01-04;IT;Publicidad;282.18
2025-09-10;RRHH;Formacion;317.08
2025-10-07;IT;Personal;6300.56
2025-02-09;Ventas;Personal;11776.85
2025-08-20;RRHH;Suministros;13799.36
2025-06-02;Calidad;Seguros;1530.63
2025-05-16;Administracion;Viajes;3183.31
2025-08-25;Contabilidad;Formacion;1462.92
2025-10-20;Contabilidad;Formacion;3241.92
2025-01-03;Calidad;Alquileres;3633.52
2025-09-15;Administracion;XXX-PARTIDA MALA;4809.4
2025-01-14;Marketing;Hardware;1873.74
2025-04-14;Marketing;Personal;932.18
2025-04-19;Direccion;Viajes;8135.02
2025-02-20;Ventas;Alquileres;8699.08
2025-10-13;Marketing;Software;9832.13
2025-04-25;Calidad;Mantenimiento;4452.41
2025-08-22;Contabilidad;Alquileres;2749.42
2025-03-21;Operaciones;Viajes;1058.0
2025-05-16;Calidad;Suministros;1308.58
2025-03-23;IT;Seguros;4313.59
2025-07-08;Operaciones;Formacion;3255.83
2025-01-03;Marketing;Seguros;7354.41
2025-03-26;Calidad;Alquileres;2930.45
2025-05-05;Contabilidad;Software;8297.07
2025-05-15;RRHH;Mantenimiento;3622.14
2025-11-06;Contabilidad;Formacion;939.67
2025-11-10;I+D;Suministros;1423.87
2025-01-30;Direccion;Personal;1038.16
2025-08-07;I+D;Alquileres;12334.28
2025-09-05;Calidad;Software;3427.18
2025-02-10;Ventas;Mantenimiento;1424.5
2025-04-11;Administracion;Personal;7213.71
2025-09-23;Administracion;Alquileres;16042.52
2025-01-12;Operaciones;Personal;275.2
2025-05-02;Administracion;Seguros;1348.59
2025-03-22;Calidad;Publicidad;6141.27
2025-01-23;RRHH;Mantenimiento;13138.42
2025-08-19;Marketing;Hardware;10000000.0
2025-07-11;RRHH;Hardware;14971.15
2025-11-07;Calidad;Publicidad;6594.12
2025-07-12;Ventas;Suministros;4128.94
2025-10-21;Ventas;Formacion;8874.08
2025-03-25;RRHH;Hardware;16735.08
2025-04-28;Marketing;Hardware;6994.54
2025-10-27;I+D;Formacion;6286.31
2025-09-10;IT;Hardware;7709.66
2025-10-18;Contabilidad;Software;15029.82
2025-06-07;Administracion;Hardware;15904.2
2025-01-04;Ventas;Suministros;5331.03
2025-03-01;Operaciones;Seguros;1103.54
2025-06-21;RRHH;Formacion;4131.55
2025-08-15;IT;Personal;6846.18
2025-02-07;IT;Formacion;5100.14
2025-08-22;IT;Seguros;10918.9
2025-01-15;IT;Alquileres;8954.31
2025-01-21;Operaciones;Software;3965.36
2025-07-19;Administracion;Seguros;3151.4
2025-05-04;Operaciones;Suministros;1740.24
2025-05-11;Calidad;Mantenimiento;4566.21
2025-08-28;Administracion;Hardware;7747.64
2025-06-04;Direccion;Seguros;1186.39
2025-07-12;Contabilidad;Viajes;1178.17
2025-05-14;Ventas;Publicidad;12546.11
2025-02-04;Marketing;Alquileres;3405.08
2025-05-10;;Formacion;1249.24
2025-03-11;Marketing;Seguros;7948.79
2025-02-24;Marketing;Alquileres;7629.18
2025-04-11;;Seguros;877.11
2025-03-21;Contabilidad;Mantenimiento;5567.24
2025-08-06;Direccion;Personal;183.15
2025-06-22;Direccion;Hardware;4999.74
2025-09-20;Contabilidad;Hardware;8816.7
2025-04-25;;Software;6310.5
2025-04-13;Marketing;;1769.04
2025-07-30;Administracion;Software;-500.0
2025-04-22;Direccion;Seguros;181.91
2025-04-13;Contabilidad;Hardware;4549.39
2025-01-01;IT;Formacion;1405.97
2025-05-07;Marketing;Viajes;5045.05
2025-08-09;Operaciones;Alquileres;11924.7
2025-04-02;Direccion;Hardware;3450.24
2025-01-01;Ventas;Seguros;5834.45
2025-02-18;Marketing;Alquileres;6380.36
2025-05-22;Operaciones;Seguros;-500.0
2025-03-07;Direccion;Alquileres;2196.98
2025-10-14;IT;Formacion;3154.04
2025-08-01;Calidad;Formacion;13416.46
2025-06-24;Marketing;Seguros;8099.83
2025-02-26;Operaciones;Hardware;11077.44
2025-05-12;Marketing;Alquileres;9186.7
2025-10-08;Calidad;Mantenimiento;5635.78
2025-13-40;Contabilidad;Mantenimiento;9859.02
2025-10-14;;Suministros;143.35
2025-03-16;I+D;Hardware;901.65
2025-06-10;Ventas;Personal;8766.61
2025-02-18;Contabilidad;Suministros;1785.31
2025-10-15;IT;Personal;3400.21
2025-13-40;IT;Publicidad;3720.35
2025-08-02;Administracion;Viajes;10000000.0
2025-03-12;Operaciones;Seguros;10683.52
2025-04-26;I+D;Suministros;795.47
2025-03-09;Direccion;Hardware;12761.89
2025-02-17;IT;Personal;6220.1
2025-03-31;IT;Mantenimiento;5436.67
2025-05-24;Calidad;Alquileres;802.58
2025-06-24;Calidad;Personal;2780.91
2025-04-02;Contabilidad;Viajes;3598.66
2025-04-12;Operaciones;Formacion;4588.58
2025-09-14;Operaciones;Personal;3422.55
2025-03-20;RRHH;Suministros;16103.93
2025-09-13;RRHH;Software;9829.94
2025-08-20;I+D;Formacion;176.14
2025-02-02;I+D;Suministros;211.1
2025-02-13;Administracion;Publicidad;-500.0
2025-06-08;Administracion;Viajes;8403.16
2025-04-19;Contabilidad;Formacion;1829.74
2025-11-02;Calidad;Hardware;10767.61
2025-10-21;IT;Alquileres;807.0
2025-08-29;Operaciones;Mantenimiento;4306.84
2025-07-24;IT;Seguros;12152.81
2025-01-12;Administracion;Mantenimiento;5706.82
2025-02-15;I+D;Publicidad;981.86
2025-10-14;Ventas;Personal;13096.61
2025-02-18;I+D;Seguros;864.2
2025-07-22;Calidad;Formacion;4794.71
2025-10-08;Ventas;Personal;17112.05
2025-04-05;Marketing;Seguros;10000000.0
2025-10-30;Ventas;Suministros;2298.98
2025-02-07;RRHH;Alquileres;7244.72
2025-08-18;Contabilidad;Alquileres;1519.02
2025-06-28;Calidad;Suministros;5940.58
2025-04-02;I+D;Publicidad;2330.03
2025-04-27;RRHH;Viajes;4874.39
2025-06-03;Calidad;Publicidad;5657.59
2025-08-01;IT;Software;2999.04
2025-09-15;Administracion;Publicidad;13164.8
2025-09-01;;Seguros;1516.94
2025-08-10;Ventas;Personal;15054.07
2025-02-18;Contabilidad;Alquileres;-500.0
2025-01-15;Contabilidad;Publicidad;2412.52
2025-03-12;Direccion;Software;7654.3
2025-08-12;Administracion;Mantenimiento;2240.19
2025-05-27;Operaciones;Seguros;9814.78
2025-06-03;Marketing;Publicidad;7026.16
2025-13-40;IT;Personal;3918.58
2025-08-18;RRHH;Software;5922.49
2025-07-15;IT;Personal;5225.25
2025-04-21;Marketing;Personal;4783.84
2025-01-13;Administracion;Software;1657.29
2025-10-08;RRHH;Publicidad;4672.3
2025-09-27;Direccion;Alquileres;292.88
2025-03-18;Administracion;Suministros;5800.76
2025-08-11;Ventas;Hardware;5595.58
2025-02-06;Ventas;Formacion;5112.39
2025-04-27;IT;Personal;3889.9
2025-08-30;Direccion;Mantenimiento;8362.14
2025-01-20;Contabilidad;Publicidad;2471.07
2025-05-16;Ventas;Formacion;8217.6
2025-07-30;Administracion;Mantenimiento;5321.81
2025-09-30;Contabilidad;Alquileres;2717.5
2025-07-29;Ventas;Suministros;2462.7
2025-08-30;Administracion;Seguros;1387.99
2025-10-20;Administracion;Alquileres;3989.25
2025-03-22;Calidad;Publicidad;548.71
2025-07-08;Marketing;Personal;4922.65
2025-09-13;Marketing;Personal;4840.01
2025-04-25;Marketing;Software;11869.36
2025-01-19;Administracion;Hardware;15641.45
2025-03-09;Marketing;Software;502.73
2025-03-13;Contabilidad;Mantenimiento;2876.87
2025-02-05;Operaciones;Software;4940.52
2025-08-29;XXX-AREA MALA;Formacion;4950.06
2025-11-06;Contabilidad;Viajes;4295.66
2025-10-26;IT;Formacion;6924.48
2025-10-26;Operaciones;Software;3207.83
2025-05-07;RRHH;Viajes;3286.32
2025-09-30;Ventas;Software;836.34
2025-07-30;I+D;Mantenimiento;6802.66
2025-05-22;I+D;Suministros;453.25
2025-01-05;Ventas;Personal;2425.0
2025-03-16;Administracion;Seguros;3040.75
2025-01-11;Calidad;Publicidad;6795.37
2025-02-22;Direccion;Alquileres;940.34
2025-09-24;IT;Software;6433.51
2025-02-14;Contabilidad;Software;15710.05
2025-01-18;Marketing;Mantenimiento;2139.63
2025-10-21;RRHH;Software;8874.77
2025-02-18;Administracion;Suministros;3338.75
2025-04-22;Calidad;Suministros;7113.33
2025-04-26;Contabilidad;Alquileres;1840.34
2025-03-03;I+D;Publicidad;1885.34
2025-01-31;Administracion;Alquileres;15108.3
2025-03-04;IT;Suministros;2442.48
2025-09-18;RRHH;Publicidad;3464.39
2025-03-19;Administracion;Publicidad;5111.43
2025-09-18;Operaciones;Viajes;13526.25
2025-09-05;Administracion;Viajes;9550.46
2025-01-16;Contabilidad;Personal;6864.16
2025-09-27;Administracion;Mantenimiento;5747.86
2025-07-23;Ventas;Alquileres;5465.7
2025-04-07;Marketing;Viajes;1810.18
2025-05-09;IT;Viajes;9709.1
2025-04-25;IT;Formacion;3396.94
2025-10-19;Administracion;Viajes;7867.25
2025-01-09;Administracion;Formacion;5435.1
2025-04-15;;Hardware;1134.09
2025-07-28;Marketing;Personal;469.12
2025-02-09;Marketing;Mantenimiento;5605.47
2025-05-17;XXX-AREA MALA;Publicidad;2641.44
2025-07-16;Ventas;Software;987.53
2025-06-30;Contabilidad;Viajes;4968.26
2025-03-05;Direccion;Seguros;944.84
2025-09-23;Marketing;Software;6360.38
2025-04-21;IT;Personal;5162.01
2025-09-18;IT;Hardware;14657.56
2025-11-07;IT;Suministros;6538.71
2025-10-21;Direccion;Personal;1177.67
2025-08-16;Marketing;Alquileres;2863.88
2025-02-07;Direccion;Formacion;13494.41
2025-03-22;I+D;Hardware;248.98
2025-10-26;RRHH;Personal;6607.06
2025-10-02;Operaciones;Hardware;11346.19
2025-03-09;Operaciones;Hardware;5061.83
2025-01-06;XXX-AREA MALA;Suministros;5115.32
2025-03-17;Marketing;Seguros;5305.97
2025-01-28;Ventas;Hardware;3901.95
2025-01-27;Administracion;Seguros;8449.12
2025-07-07;Marketing;Suministros;14564.34
2025-08-11;RRHH;Viajes;8863.64
2025-04-16;IT;Personal;4171.01
2025-03-31;Contabilidad;Seguros;1497.72
2025-05-26;Contabilidad;Hardware;2835.04
2025-03-24;Administracion;Hardware;15278.97
2025-01-25;Calidad;Hardware;3564.68
2025-05-13;Administracion;Publicidad;14043.74
2025-01-22;Contabilidad;Seguros;1811.71
2025-10-21;Direccion;Suministros;8693.57
2025-02-21;Administracion;Suministros;6597.08
2025-02-13;Ventas;Hardware;4585.88
2025-05-28;Direccion;Suministros;12361.95
2025-07-24;Contabilidad;Viajes;3624.18
2025-07-12;Marketing;Suministros;6535.64
2025-04-10;RRHH;Personal;8685.24
2025-10-18;I+D;Hardware;778.97
2025-02-04;Calidad;Hardware;3401.29
2025-05-19;Operaciones;Hardware;12380.51
2025-03-19;Marketing;Seguros;240.35
2025-06-04;IT;Formacion;4632.66
2025-05-18;Direccion;Publicidad;101.78
2025-06-05;Ventas;Personal;5252.53
2025-10-16;Administracion;Suministros;1205.37
2025-10-24;IT;Viajes;4445.48
2025-05-09;Operaciones;Publicidad;7930.63
2025-08-11;Ventas;Software;1157.83
2025-09-15;IT;Viajes;9286.98
2025-11-10;Marketing;Alquileres;7669.7
2025-10-10;Direccion;Mantenimiento;963.1
2025-04-30;Calidad;Software;2780.08
2025-09-26;IT;Suministros;10098.93
2025-10-10;I+D;Mantenimiento;4788.89
2025-04-04;Contabilidad;Publicidad;1370.5
2025-02-11;Operaciones;Mantenimiento;3433.41
2025-10-31;Calidad;;8887.56
2025-09-29;IT;Personal;5249.4
2025-08-02;Ventas;Publicidad;8014.31
2025-03-16;I+D;Hardware;893.27
2025-01-22;IT;Alquileres;2984.3
2025-03-27;Administracion;Mantenimiento;749.52
2025-01-18;Calidad;Publicidad;7194.45
2025-07-18;Operaciones;Hardware;1814.91
2025-01-14;Direccion;Suministros;5704.0
2025-07-05;Contabilidad;Software;11594.97
2025-03-29;IT;Publicidad;4764.06
2025-05-20;Contabilidad;;13804.32
2025-10-06;RRHH;Formacion;10269.77
2025-09-23;Administracion;Personal;6215.76
2025-03-27;I+D;Suministros;582.51
2025-01-07;Marketing;Publicidad;418.86
2025-07-29;Administracion;Alquileres;9724.76
2025-04-01;RRHH;Viajes;962.73
2025-05-28;I+D;Suministros;825.85
2025-07-28;Operaciones;Mantenimiento;4321.09
2025-08-28;Direccion;Publicidad;437.56
2025-03-23;Contabilidad;Software;-500.0
2025-07-28;I+D;Personal;11599.93
2025-01-02;Ventas;Hardware;2236.92
2025-04-02;RRHH;Seguros;1288.26
2025-08-24;IT;Publicidad;3176.6
2025-07-19;IT;Alquileres;10067.68
2025-02-20;Contabilidad;Hardware;171.48
2025-01-02;;Hardware;13294.86
2025-06-18;Contabilidad;Alquileres;461.46
2025-04-03;Ventas;Alquileres;3904.64
2025-10-23;;Publicidad;1885.27
2025-07-15;IT;Publicidad;1665.92
2025-10-14;Marketing;Formacion;7423.95
2025-02-23;Calidad;Alquileres;3428.1
2025-09-09;Contabilidad;;2262.81
2025-03-27;Ventas;Formacion;3572.22
2025-02-11;RRHH;Hardware;6581.61
2025-06-11;IT;Viajes;1890.91
2025-05-14;Direccion;Publicidad;912.24
2025-07-08;I+D;Software;4113.1
2025-05-06;Ventas;Seguros;5974.24
2025-01-07;I+D;Hardware;1451.92
2025-01-28;Administracion;Hardware;1520.46
2025-04-23;Calidad;Hardware;10000000.0
2025-08-15;I+D;Mantenimiento;6986.6
2025-08-23;;Personal;1900.85
2025-07-14;IT;Hardware;3294.2
2025-03-25;Operaciones;Mantenimiento;8846.41
2025-03-15;Contabilidad;Suministros;869.43
2025-09-02;RRHH;Alquileres;845.64
2025-02-27;Calidad;Publicidad;11249.27
2025-01-20;Operaciones;Suministros;1068.86
2025-05-11;I+D;Seguros;2797.9
2025-02-10;Calidad;Mantenimiento;5792.79
2025-07-07;Calidad;Alquileres;990.96
2025-09-16;Calidad;Viajes;1898.18
2025-09-24;Direccion;;11622.35
2025-06-13;Contabilidad;Software;11001.9
2025-03-26;IT;Hardware;9059.97
2025-01-23;Operaciones;Formacion;3785.81
2025-10-30;Marketing;Software;10644.16
2025-05-13;Administracion;Alquileres;16424.94
2025-02-01;IT;;3071.94
2025-09-13;RRHH;Publicidad;10769.65
2025-04-15;Calidad;Viajes;3820.16
2025-06-09;Operaciones;Publicidad;3134.55
2025-11-01;RRHH;Alquileres;3708.44
2025-05-04;Marketing;Personal;4842.81
2025-11-07;Direccion;Viajes;8280.0
2025-02-11;Calidad;Software;2848.49
2025-01-17;Direccion;Seguros;1083.37
2025-04-14;Contabilidad;Viajes;3338.29
2025-04-26;RRHH;Software;10793.85
2025-07-09;Ventas;XXX-PARTIDA MALA;504.84
2025-01-09;RRHH;Alquileres;5939.76
2025-02-02;Ventas;Software;250.31
2025-05-22;Marketing;Seguros;1511.08
2025-01-24;RRHH;Software;7652.1
2025-10-14;Ventas;Hardware;5466.33
2025-01-15;Operaciones;Software;3067.26
2025-10-28;I+D;Hardware;1000.67
2025-07-08;IT;Software;8910.84
2025-09-15;Ventas;Personal;14802.56
2025-05-21;Contabilidad;Seguros;6829.26
2025-03-21;I+D;Software;6011.25
2025-09-12;Calidad;Software;4333.92
2025-04-04;I+D;Viajes;9775.76
2025-05-22;Contabilidad;Suministros;1621.82
2025-04-11;Contabilidad;Formacion;3040.58
2025-09-01;Direccion;Alquileres;2029.84
2025-02-11;RRHH;Personal;4764.88
2025-09-08;IT;Software;6670.78
2025-01-07;IT;Software;6079.31
2025-03-22;I+D;Software;4036.2
2025-09-01;Direccion;Seguros;825.0
2025-09-04;RRHH;Publicidad;7437.12
2025-01-28;IT;Viajes;5285.85
2025-01-01;Direccion;Suministros;10630.51
2025-10-04;Administracion;Software;-500.0
2025-06-15;Calidad;Alquileres;2530.49
2025-05-12;IT;Hardware;8291.06
2025-02-21;IT;Mantenimiento;11644.99
2025-01-29;IT;Suministros;2987.5
2025-13-40;Marketing;Hardware;8665.86
2025-02-08;Ventas;Seguros;6174.24
2025-11-06;Operaciones;Hardware;5971.74
2025-07-25;Calidad;Publicidad;15531.29
2025-04-01;Administracion;Alquileres;5226.18
2025-03-03;Contabilidad;Seguros;4610.05
2025-06-27;I+D;Suministros;521.56
2025-13-40;Direccion;Alquileres;1769.69
2025-03-30;RRHH;Hardware;7527.07
